TicketID,Cliente,DataAbertura,TempoResolucao_Horas,Status,CSAT
105853,Farias S.A.,2026-09-24 11:45:52,43,Em Andamento,
595837,Fonseca e Filhos,2026-09-24 11:46:02,60,Resolvido,1.0
400189,Siqueira Barbosa - EI,2026-09-24 11:44:34,33,Resolvido,4.0
936266,Nogueira da Cunha S/A,2026-09-24 11:45:14,6,Em Andamento,
514844,Monteiro,2026-09-24 11:46:11,34,Resolvido,4.0
624156,Sousa,2026-09-24 11:48:50,65,Resolvido,2.0
354750,Macedo,2026-09-24 11:45:57,2,Em Andamento,
208971,Brito,2026-09-24 11:47:52,59,Resolvido,3.0
943607,Pastor,2026-09-24 11:47:04,67,Resolvido,2.0
960037,Pinto,2026-09-24 11:48:21,20,Resolvido,5.0
357743,da Paz S/A,2026-09-24 11:47:32,24,Resolvido,5.0
998011,Sales Nogueira - EI,2026-09-24 11:48:03,64,Em Andamento,
167650,Castro S/A,2026-09-24 11:45:41,66,Resolvido,1.0
701653,Dias Araújo - ME,2026-09-24 11:49:23,37,Resolvido,3.0
577109,Rocha,2026-09-24 11:45:13,37,Resolvido,4.0
406884,Moura Borges Ltda.,2026-09-24 11:45:52,46,Resolvido,4.0
532896,Jesus S.A.,2026-09-24 11:45:50,4,Resolvido,4.0
17002,Macedo Pinto S/A,2026-09-24 11:46:18,45,Resolvido,4.0
149208,Garcia Ltda.,2026-09-24 11:44:16,61,Resolvido,3.0
487421,Cavalcanti Sousa - ME,2026-09-24 11:47:06,7,Resolvido,5.0
610448,Silva Freitas e Filhos,2026-09-24 11:44:14,53,Resolvido,2.0
499029,Duarte Ltda.,2026-09-24 11:49:22,49,Resolvido,1.0
216712,Macedo S/A,2026-09-24 11:45:18,52,Resolvido,3.0
610632,Melo Garcia - ME,2026-09-24 11:45:05,55,Resolvido,1.0
707203,Fernandes,2026-09-24 11:46:04,11,Resolvido,5.0
980761,Cassiano Abreu S.A.,2026-09-24 11:44:35,63,Escalado,
260043,Araújo Costa S.A.,2026-09-24 11:48:05,2,Em Andamento,
922743,Cavalcante,2026-09-24 11:48:36,36,Resolvido,3.0
25638,Pires,2026-09-24 11:49:46,23,Resolvido,5.0
516320,Carvalho,2026-09-24 11:45:40,54,Resolvido,2.0
162881,Caldeira - EI,2026-09-24 11:43:49,3,Resolvido,4.0
906702,Camargo - EI,2026-09-24 11:48:13,72,Escalado,
74098,Câmara,2026-09-24 11:44:14,46,Resolvido,3.0
614516,Teixeira,2026-09-24 11:47:12,44,Escalado,
998947,Alves,2026-09-24 11:46:00,23,Resolvido,5.0
793803,Souza,2026-09-24 11:44:50,58,Resolvido,1.0
299890,Silveira,2026-09-24 11:44:06,10,Resolvido,5.0
854798,Rios Monteiro S/A,2026-09-24 11:46:07,9,Em Andamento,
408871,Santos Silveira - EI,2026-09-24 11:48:23,53,Resolvido,2.0
839622,Mendonça Sales Ltda.,2026-09-24 11:44:57,57,Em Andamento,
489371,Santos e Filhos,2026-09-24 11:48:47,16,Resolvido,4.0
807430,Aparecida S/A,2026-09-24 11:45:11,30,Em Andamento,
88254,Gomes,2026-09-24 11:43:51,22,Resolvido,5.0
595558,Souza,2026-09-24 11:43:50,1,Resolvido,5.0
382339,Santos Ltda.,2026-09-24 11:48:43,7,Escalado,
992510,da Rocha Cardoso Ltda.,2026-09-24 11:47:50,40,Escalado,
816548,Araújo,2026-09-24 11:49:39,50,Resolvido,1.0
303559,Albuquerque,2026-09-24 11:45:39,33,Resolvido,3.0
236086,Moura Farias Ltda.,2026-09-24 11:49:46,30,Escalado,
786945,Fonseca - EI,2026-09-24 11:45:00,49,Resolvido,3.0
65116,Campos - ME,2026-09-24 11:45:57,39,Escalado,
327686,Macedo,2026-09-24 11:45:15,45,Resolvido,3.0
243411,Novaes - EI,2026-09-24 11:48:25,49,Escalado,
152566,Novais,2026-09-24 11:48:35,67,Resolvido,3.0
954357,Novais,2026-09-24 11:46:05,50,Em Andamento,
881763,Brito,2026-09-24 11:44:32,3,Resolvido,5.0
68593,Ramos,2026-09-24 11:44:11,47,Escalado,
314920,Fernandes,2026-09-24 11:48:21,22,Resolvido,5.0
213375,Montenegro S/A,2026-09-24 11:44:19,40,Resolvido,3.0
395682,Nogueira - ME,2026-09-24 11:47:14,49,Em Andamento,
157898,Garcia,2026-09-24 11:48:49,37,Em Andamento,
776218,Pereira Campos e Filhos,2026-09-24 11:45:07,71,Em Andamento,
525007,Guerra - EI,2026-09-24 11:47:42,55,Resolvido,3.0
62483,Abreu,2026-09-24 11:46:25,8,Resolvido,5.0
694553,Albuquerque,2026-09-24 11:47:27,26,Resolvido,4.0
444463,Fogaça,2026-09-24 11:45:24,14,Resolvido,4.0
725249,Camargo,2026-09-24 11:46:24,23,Escalado,
856376,Moraes,2026-09-24 11:47:15,63,Resolvido,1.0
282167,Gomes S.A.,2026-09-24 11:45:08,7,Em Andamento,
934457,Pimenta S.A.,2026-09-24 11:49:33,18,Resolvido,5.0
143830,Andrade Cassiano e Filhos,2026-09-24 11:47:27,20,Resolvido,4.0
737003,da Conceição,2026-09-24 11:46:45,40,Escalado,
545512,Cunha,2026-09-24 11:49:28,22,Em Andamento,
617347,Siqueira Ltda.,2026-09-24 11:46:55,57,Resolvido,3.0
914754,Vieira e Filhos,2026-09-24 11:46:19,53,Resolvido,1.0
695381,Moraes,2026-09-24 11:47:24,32,Resolvido,4.0
546360,da Rocha,2026-09-24 11:45:54,14,Em Andamento,
440952,Cavalcanti Andrade - ME,2026-09-24 11:46:02,68,Resolvido,3.0
609356,Montenegro,2026-09-24 11:44:29,46,Escalado,
669117,Dias Ramos Ltda.,2026-09-24 11:49:34,60,Resolvido,1.0
546116,Lima,2026-09-24 11:47:31,40,Resolvido,4.0
305218,Vargas,2026-09-24 11:44:39,9,Em Andamento,
761899,Farias,2026-09-24 11:47:31,20,Em Andamento,
241028,Nunes,2026-09-24 11:49:13,41,Resolvido,3.0
402278,Montenegro,2026-09-24 11:49:13,69,Resolvido,2.0
618666,Vasconcelos,2026-09-24 11:44:33,39,Em Andamento,
712065,Abreu - EI,2026-09-24 11:46:49,3,Resolvido,5.0
838983,da Cruz,2026-09-24 11:44:12,43,Resolvido,3.0
170672,Mendes S/A,2026-09-24 11:44:15,3,Resolvido,5.0
271660,Cardoso,2026-09-24 11:48:26,37,Em Andamento,
484076,Pires,2026-09-24 11:45:42,49,Em Andamento,
463094,Costa,2026-09-24 11:48:14,68,Em Andamento,
810248,Gonçalves,2026-09-24 11:44:47,18,Resolvido,5.0
638303,Rios S/A,2026-09-24 11:44:59,54,Escalado,
513896,Cavalcanti,2026-09-24 11:48:56,49,Em Andamento,
40052,Pinto,2026-09-24 11:49:18,21,Resolvido,5.0
899380,Alves Almeida S.A.,2026-09-24 11:48:04,58,Resolvido,1.0
832711,Pimenta,2026-09-24 11:44:47,64,Resolvido,1.0
232547,Silva,2026-09-24 11:46:50,7,Resolvido,4.0
543913,Siqueira Ltda.,2026-09-24 11:47:23,12,Resolvido,5.0
664111,Novaes - ME,2026-09-24 11:47:41,21,Resolvido,5.0
985883,Rocha Cavalcanti S.A.,2026-09-24 11:48:34,4,Em Andamento,
71271,Farias Borges Ltda.,2026-09-24 11:49:27,27,Resolvido,3.0
533103,Leão,2026-09-24 11:49:12,67,Resolvido,1.0
571310,Albuquerque Sampaio S.A.,2026-09-24 11:45:16,49,Escalado,
373805,Câmara,2026-09-24 11:45:30,26,Resolvido,4.0
187198,da Rosa e Filhos,2026-09-24 11:43:52,35,Escalado,
608983,Guerra,2026-09-24 11:48:23,20,Resolvido,5.0
6018,Machado - EI,2026-09-24 11:49:28,66,Resolvido,2.0
260982,da Conceição da Rosa e Filhos,2026-09-24 11:44:16,7,Resolvido,5.0
529432,Silveira Ltda.,2026-09-24 11:45:27,9,Resolvido,5.0
444242,Aparecida e Filhos,2026-09-24 11:45:56,59,Resolvido,3.0
127788,Campos Macedo e Filhos,2026-09-24 11:49:47,31,Resolvido,3.0
660951,Nogueira,2026-09-24 11:45:28,15,Resolvido,4.0
179857,Camargo,2026-09-24 11:47:42,61,Resolvido,1.0
151264,Pereira,2026-09-24 11:44:29,47,Em Andamento,
984289,Sampaio,2026-09-24 11:43:56,30,Resolvido,4.0
888013,Leão,2026-09-24 11:49:46,11,Resolvido,5.0
102960,Costa,2026-09-24 11:49:14,42,Em Andamento,
568059,Azevedo Camargo S/A,2026-09-24 11:48:45,56,Resolvido,1.0
742418,Nascimento Pastor - EI,2026-09-24 11:49:43,67,Resolvido,3.0
263407,Borges,2026-09-24 11:45:39,14,Resolvido,5.0
184010,Albuquerque,2026-09-24 11:46:15,50,Escalado,
712200,Macedo,2026-09-24 11:47:27,58,Resolvido,1.0
884655,Barros S.A.,2026-09-24 11:48:09,62,Resolvido,2.0
53178,Vieira,2026-09-24 11:49:21,66,Resolvido,1.0
963689,Ribeiro,2026-09-24 11:44:45,23,Resolvido,5.0
405439,da Rocha,2026-09-24 11:49:40,12,Resolvido,5.0
145458,Melo,2026-09-24 11:48:28,55,Resolvido,2.0
815057,Ribeiro,2026-09-24 11:46:29,34,Resolvido,3.0
86552,Azevedo,2026-09-24 11:46:50,14,Resolvido,4.0
632732,Vasconcelos,2026-09-24 11:45:04,30,Em Andamento,
774495,Correia da Luz - EI,2026-09-24 11:46:59,71,Resolvido,2.0
9692,Silveira,2026-09-24 11:46:31,64,Resolvido,1.0
441628,da Cruz S.A.,2026-09-24 11:48:18,2,Resolvido,5.0
935777,Porto Viana S.A.,2026-09-24 11:44:44,13,Resolvido,5.0
65137,Martins,2026-09-24 11:45:00,14,Escalado,
388851,Pastor - ME,2026-09-24 11:44:21,9,Resolvido,5.0
61653,Novais,2026-09-24 11:46:41,54,Resolvido,2.0
486875,Sampaio Cunha - ME,2026-09-24 11:48:27,49,Resolvido,1.0
498893,Cavalcanti,2026-09-24 11:44:00,64,Em Andamento,
483606,Nascimento Ltda.,2026-09-24 11:43:57,37,Resolvido,4.0
446895,Moura S.A.,2026-09-24 11:45:11,37,Em Andamento,
187322,Peixoto,2026-09-24 11:46:25,44,Resolvido,3.0
191301,da Mota da Mota - ME,2026-09-24 11:44:08,33,Resolvido,4.0
499496,Souza Câmara - ME,2026-09-24 11:46:18,19,Em Andamento,
3005,Vieira,2026-09-24 11:46:39,60,Resolvido,3.0
829366,Azevedo,2026-09-24 11:46:48,5,Resolvido,4.0
565986,Pereira e Filhos,2026-09-24 11:48:17,16,Resolvido,5.0
472294,Pereira Porto S/A,2026-09-24 11:44:50,69,Resolvido,2.0
723776,Campos,2026-09-24 11:47:50,51,Resolvido,1.0
407577,Duarte e Filhos,2026-09-24 11:48:44,13,Resolvido,4.0
264395,Vargas Caldeira - EI,2026-09-24 11:47:59,14,Resolvido,5.0
384503,Teixeira - ME,2026-09-24 11:46:34,48,Escalado,
69969,Sales,2026-09-24 11:47:59,44,Resolvido,3.0
221699,da Cunha Vargas - EI,2026-09-24 11:48:20,59,Resolvido,3.0
855410,Moreira S/A,2026-09-24 11:44:50,71,Resolvido,2.0
430818,Souza,2026-09-24 11:48:50,70,Resolvido,1.0
783656,Rodrigues,2026-09-24 11:47:19,8,Resolvido,5.0
663887,Mendes,2026-09-24 11:44:22,3,Resolvido,5.0
943263,Albuquerque Peixoto S/A,2026-09-24 11:45:58,41,Escalado,
765408,Pereira,2026-09-24 11:48:33,38,Resolvido,4.0
796919,Porto,2026-09-24 11:47:40,51,Em Andamento,
729877,Fonseca Cardoso e Filhos,2026-09-24 11:48:13,46,Escalado,
515904,Novais Andrade S/A,2026-09-24 11:49:47,64,Em Andamento,
952578,Pacheco S.A.,2026-09-24 11:48:48,8,Resolvido,5.0
58415,Gomes,2026-09-24 11:49:44,3,Escalado,
897005,Moreira Brito - EI,2026-09-24 11:47:42,21,Resolvido,5.0
716338,Lopes,2026-09-24 11:44:34,72,Resolvido,2.0
636280,Freitas,2026-09-24 11:45:58,39,Resolvido,4.0
404413,Freitas,2026-09-24 11:44:22,16,Em Andamento,
447574,Aragão,2026-09-24 11:45:00,19,Resolvido,5.0
977592,Pimenta,2026-09-24 11:46:59,38,Resolvido,4.0
114709,Melo,2026-09-24 11:44:10,21,Resolvido,5.0
862440,Almeida S.A.,2026-09-24 11:45:59,36,Resolvido,3.0
140143,Machado,2026-09-24 11:47:34,64,Resolvido,3.0
830225,Pimenta,2026-09-24 11:47:30,59,Em Andamento,
670035,Santos,2026-09-24 11:45:47,28,Em Andamento,
762816,Borges Gonçalves e Filhos,2026-09-24 11:44:12,12,Em Andamento,
648221,Farias S/A,2026-09-24 11:46:19,20,Resolvido,5.0
249763,Azevedo Cunha e Filhos,2026-09-24 11:44:28,57,Resolvido,2.0
238298,da Cruz Ltda.,2026-09-24 11:48:00,43,Resolvido,3.0
829843,Rocha Ltda.,2026-09-24 11:48:22,4,Resolvido,4.0
919051,Fogaça,2026-09-24 11:46:41,20,Em Andamento,
892190,Viana Garcia - ME,2026-09-24 11:47:47,50,Resolvido,3.0
437476,Almeida Cavalcanti - EI,2026-09-24 11:47:41,31,Resolvido,3.0
569541,Mendonça das Neves e Filhos,2026-09-24 11:48:07,59,Resolvido,1.0
210844,da Mata S/A,2026-09-24 11:47:37,54,Resolvido,1.0
364081,Oliveira,2026-09-24 11:46:00,3,Resolvido,5.0
299174,Rocha,2026-09-24 11:44:45,56,Resolvido,1.0
918067,Aparecida,2026-09-24 11:48:45,12,Resolvido,5.0
594707,da Luz S/A,2026-09-24 11:45:46,56,Resolvido,1.0
443972,Nogueira da Rosa e Filhos,2026-09-24 11:45:31,27,Resolvido,3.0
748066,Rocha Souza S.A.,2026-09-24 11:45:02,14,Resolvido,5.0
314989,Machado - EI,2026-09-24 11:45:42,35,Resolvido,3.0
679864,Lopes Cunha - ME,2026-09-24 11:48:09,26,Resolvido,4.0
586747,Pastor Santos S/A,2026-09-24 11:46:51,47,Resolvido,3.0
728166,Pires,2026-09-24 11:46:51,18,Em Andamento,
627523,Costa Moreira e Filhos,2026-09-24 11:44:08,72,Resolvido,1.0
106896,Alves,2026-09-24 11:43:53,3,Resolvido,5.0
336106,da Rosa,2026-09-24 11:46:03,70,Resolvido,1.0
252557,Mendes,2026-09-24 11:47:11,67,Resolvido,3.0
895759,Aragão,2026-09-24 11:49:35,50,Resolvido,1.0
131431,Lima,2026-09-24 11:47:42,69,Resolvido,1.0
568373,Oliveira,2026-09-24 11:46:09,13,Resolvido,5.0
416223,Ribeiro Sales S/A,2026-09-24 11:49:43,39,Resolvido,4.0
455348,Nogueira Pires - EI,2026-09-24 11:48:51,39,Resolvido,3.0
254641,Brito,2026-09-24 11:49:15,44,Resolvido,3.0
69860,Sales,2026-09-24 11:45:26,34,Resolvido,3.0
202504,Macedo,2026-09-24 11:49:40,44,Resolvido,3.0
944426,Barros,2026-09-24 11:47:13,64,Em Andamento,
43352,Leão da Cunha Ltda.,2026-09-24 11:48:35,12,Resolvido,5.0
572029,Vieira - ME,2026-09-24 11:44:26,2,Resolvido,5.0
615598,Farias,2026-09-24 11:46:07,63,Em Andamento,
483011,Barros S/A,2026-09-24 11:43:58,53,Resolvido,1.0
455640,Pires,2026-09-24 11:44:01,32,Resolvido,3.0
803577,Barbosa - EI,2026-09-24 11:45:44,52,Em Andamento,
44566,da Rocha,2026-09-24 11:48:56,47,Resolvido,3.0
535905,Jesus - ME,2026-09-24 11:46:29,11,Escalado,
597478,da Mata,2026-09-24 11:49:09,2,Resolvido,5.0
174881,Peixoto - EI,2026-09-24 11:46:34,16,Em Andamento,
73812,Freitas Cassiano S.A.,2026-09-24 11:47:24,3,Resolvido,4.0
400100,Sales,2026-09-24 11:45:04,51,Resolvido,3.0
106431,Pimenta,2026-09-24 11:46:19,60,Em Andamento,
63676,Pereira,2026-09-24 11:47:44,55,Resolvido,3.0
235919,Fonseca e Filhos,2026-09-24 11:49:12,61,Resolvido,1.0
430019,Sales,2026-09-24 11:48:15,47,Resolvido,4.0
620471,Freitas Cunha S/A,2026-09-24 11:45:49,21,Resolvido,5.0
568594,Pastor - EI,2026-09-24 11:46:00,33,Resolvido,4.0
233648,Moraes Camargo e Filhos,2026-09-24 11:47:45,20,Escalado,
214825,Silva e Filhos,2026-09-24 11:49:00,17,Resolvido,4.0
517266,da Paz,2026-09-24 11:47:03,32,Escalado,
667066,Casa Grande,2026-09-24 11:46:03,11,Em Andamento,
780368,Duarte Farias S/A,2026-09-24 11:47:42,4,Resolvido,4.0
527791,Cassiano,2026-09-24 11:49:37,37,Resolvido,4.0
692911,Ferreira,2026-09-24 11:48:53,71,Resolvido,1.0
562755,Monteiro,2026-09-24 11:49:43,35,Resolvido,3.0
646354,Gomes,2026-09-24 11:44:20,19,Resolvido,5.0
187169,Azevedo,2026-09-24 11:48:59,31,Resolvido,4.0
990130,Camargo,2026-09-24 11:49:44,68,Resolvido,1.0
430352,Costa,2026-09-24 11:47:54,6,Resolvido,4.0
113823,Cavalcante da Luz - EI,2026-09-24 11:46:39,17,Resolvido,5.0
513425,da Luz Albuquerque - EI,2026-09-24 11:49:22,18,Escalado,
496132,Cunha,2026-09-24 11:49:00,48,Em Andamento,
689844,Sales Costela S/A,2026-09-24 11:47:05,26,Resolvido,3.0
627324,Almeida Almeida - EI,2026-09-24 11:47:40,60,Escalado,
993018,Macedo Caldeira Ltda.,2026-09-24 11:47:53,62,Resolvido,2.0
792454,Aparecida Lima Ltda.,2026-09-24 11:45:56,72,Resolvido,1.0
